D,-1,-1~0,0~1,1~
0.909025,0,0,1,0
-0.526383,0,1,0,0
1.374722,0,0,0,1
2.987718,0,0,0,1
0.539614,0,0,1,0
0.077916,0,0,1,0
-1.450504,1,0,0,0
2.484854,0,0,0,1
1.535560,0,0,0,1
0.011855,0,0,1,0
-0.262049,0,1,0,0
0.120943,0,0,1,0
-0.645624,0,1,0,0
1.353374,0,0,0,1
1.798089,0,0,0,1
-0.160907,0,1,0,0
-0.066540,0,1,0,0
-0.760762,0,1,0,0
1.221500,0,0,0,1
-0.263866,0,1,0,0
-2.061443,1,0,0,0
0.200058,0,0,1,0
-2.169386,1,0,0,0
-0.093435,0,1,0,0
-0.939027,0,1,0,0
-1.219235,1,0,0,0
0.298052,0,0,1,0
1.030828,0,0,0,1
1.117480,0,0,0,1
1.479638,0,0,0,1
0.255470,0,0,1,0
0.177264,0,0,1,0
0.825112,0,0,1,0
-0.171184,0,1,0,0
0.906705,0,0,1,0
0.133934,0,0,1,0
-1.951983,1,0,0,0
0.418412,0,0,1,0
-2.748919,1,0,0,0
2.185161,0,0,0,1
-0.486659,0,1,0,0
1.231114,0,0,0,1
-1.202627,1,0,0,0
-0.881984,0,1,0,0
0.167586,0,0,1,0
0.786900,0,0,1,0
-0.759341,0,1,0,0
-0.995475,0,1,0,0
1.299373,0,0,0,1
2.234362,0,0,0,1
-0.147508,0,1,0,0
2.122926,0,0,0,1
1.946100,0,0,0,1
-0.010683,0,1,0,0
-0.248876,0,1,0,0
-0.333714,0,1,0,0
1.920390,0,0,0,1
0.104910,0,0,1,0
1.543457,0,0,0,1
-0.665144,0,1,0,0
-0.422877,0,1,0,0
1.796096,0,0,0,1
-0.414888,0,1,0,0
-0.043416,0,1,0,0
0.604212,0,0,1,0
-2.169696,1,0,0,0
-1.495659,1,0,0,0
0.806261,0,0,1,0
2.289888,0,0,0,1
-0.248561,0,1,0,0
-0.616540,0,1,0,0
-1.116588,1,0,0,0
0.399497,0,0,1,0
-1.624349,1,0,0,0
0.829674,0,0,1,0
2.023545,0,0,0,1
1.741233,0,0,0,1
0.070623,0,0,1,0
0.119153,0,0,1,0
0.759378,0,0,1,0
1.027172,0,0,0,1
0.027822,0,0,1,0
0.694540,0,0,1,0
-2.347446,1,0,0,0
-0.594069,0,1,0,0
1.941779,0,0,0,1
-1.495648,1,0,0,0
0.199804,0,0,1,0
-3.077283,1,0,0,0
2.504993,0,0,0,1
-0.389217,0,1,0,0
-0.080905,0,1,0,0
-0.589663,0,1,0,0
0.986341,0,0,1,0
0.158268,0,0,1,0
-0.790536,0,1,0,0
-1.938916,1,0,0,0
-2.506758,1,0,0,0
-0.170404,0,1,0,0
2.695232,0,0,0,1
-2.449641,1,0,0,0
-0.616572,0,1,0,0
-1.980621,1,0,0,0
-4.177131,1,0,0,0
1.227187,0,0,0,1
-0.178132,0,1,0,0
2.170876,0,0,0,1
1.769620,0,0,0,1
0.555224,0,0,1,0
-1.792691,1,0,0,0
-1.525380,1,0,0,0
0.559491,0,0,1,0
3.127398,0,0,0,1
-0.516801,0,1,0,0
-2.149121,1,0,0,0
2.882449,0,0,0,1
-0.188288,0,1,0,0
1.441734,0,0,0,1
-0.535690,0,1,0,0
-0.319681,0,1,0,0
-0.549752,0,1,0,0
-1.272414,1,0,0,0
0.472624,0,0,1,0
1.196547,0,0,0,1
1.591663,0,0,0,1
0.920533,0,0,1,0
-1.007791,1,0,0,0
0.687631,0,0,1,0
-2.586166,1,0,0,0
-0.097160,0,1,0,0
-3.295903,1,0,0,0
-0.348907,0,1,0,0
0.935724,0,0,1,0
0.355624,0,0,1,0
-1.647632,1,0,0,0
1.765082,0,0,0,1
-0.359988,0,1,0,0
0.374187,0,0,1,0
1.006617,0,0,0,1
0.500179,0,0,1,0
0.896840,0,0,1,0
-0.241707,0,1,0,0
1.043335,0,0,0,1
0.840070,0,0,1,0
-0.053811,0,1,0,0
-1.692272,1,0,0,0
-1.363845,1,0,0,0
-2.103046,1,0,0,0
0.003005,0,0,1,0
-2.378094,1,0,0,0
-0.357374,0,1,0,0
0.622922,0,0,1,0
3.006900,0,0,0,1
-0.001036,0,1,0,0
0.684856,0,0,1,0
-0.026795,0,1,0,0
-0.851758,0,1,0,0
1.094604,0,0,0,1
-0.971241,0,1,0,0
0.168480,0,0,1,0
-0.977384,0,1,0,0
0.111140,0,0,1,0
1.265507,0,0,0,1
-0.190679,0,1,0,0
-2.933144,1,0,0,0
0.928710,0,0,1,0
0.252825,0,0,1,0
-0.352618,0,1,0,0
1.950037,0,0,0,1
-0.136430,0,1,0,0
-0.746575,0,1,0,0
-1.410107,1,0,0,0
-0.639512,0,1,0,0
0.491271,0,0,1,0
-0.235023,0,1,0,0
2.105231,0,0,0,1
0.867497,0,0,1,0
0.970460,0,0,1,0
0.232837,0,0,1,0
0.235238,0,0,1,0
0.073407,0,0,1,0
-0.336063,0,1,0,0
2.074441,0,0,0,1
0.658346,0,0,1,0
0.224221,0,0,1,0
0.075725,0,0,1,0
-0.014124,0,1,0,0
0.310135,0,0,1,0
-0.854273,0,1,0,0
0.498044,0,0,1,0
-0.636719,0,1,0,0
0.830195,0,0,1,0
-1.089890,1,0,0,0
0.285802,0,0,1,0
0.933696,0,0,1,0
1.623205,0,0,0,1
-0.076428,0,1,0,0
0.129388,0,0,1,0
0.045285,0,0,1,0
-0.712982,0,1,0,0
0.274323,0,0,1,0
-1.394587,1,0,0,0
0.444515,0,0,1,0
1.082308,0,0,0,1
0.285586,0,0,1,0
-0.141052,0,1,0,0
0.578826,0,0,1,0
-0.373706,0,1,0,0
-0.422839,0,1,0,0
-0.076789,0,1,0,0
-0.563175,0,1,0,0
-0.344559,0,1,0,0
0.875626,0,0,1,0
0.642878,0,0,1,0
-0.103022,0,1,0,0
-0.058781,0,1,0,0
-1.005512,1,0,0,0
0.838412,0,0,1,0
-0.095942,0,1,0,0
-0.287957,0,1,0,0
1.134817,0,0,0,1
0.462743,0,0,1,0
0.570981,0,0,1,0
0.180305,0,0,1,0
-0.162729,0,1,0,0
-0.625188,0,1,0,0
-0.313148,0,1,0,0
-0.996416,0,1,0,0
-1.047756,1,0,0,0
0.478767,0,0,1,0
-2.980495,1,0,0,0
2.382870,0,0,0,1
